role,permission,route,action,endpoint,method,resource,dataScope,allowed,conditions,featureCapability,auditEvent,positiveTest,negativeTest,crossTenantTest,sourceFile,authSignal,roleSignal,tenantSignal
,,,GET /:tenantId/documents/:documentId,/:tenantId/documents/:documentId,GET,iso-document-generator.routes,tenant-signal,,,,,,,,backend/src/routes/iso-document-generator.routes.js,false,false,true
,,,POST /:tenantId/documents/:documentId/regenerate,/:tenantId/documents/:documentId/regenerate,POST,iso-document-generator.routes,tenant-signal,,,,,,,,backend/src/routes/iso-document-generator.routes.js,false,false,true
,,,POST /:tenantId/documents/:documentId/archive,/:tenantId/documents/:documentId/archive,POST,iso-document-generator.routes,tenant-signal,,,,,,,,backend/src/routes/iso-document-generator.routes.js,false,false,true
,,,GET /options/:tenantId,/options/:tenantId,GET,iso-express-diagnostic.routes,tenant-signal,,,,,,,,backend/src/routes/iso-express-diagnostic.routes.js,false,false,true
,,,POST /:tenantId/calculate,/:tenantId/calculate,POST,iso-express-diagnostic.routes,tenant-signal,,,,,,,,backend/src/routes/iso-express-diagnostic.routes.js,false,false,true
,,,GET /:tenantId/latest,/:tenantId/latest,GET,iso-express-diagnostic.routes,tenant-signal,,,,,,,,backend/src/routes/iso-express-diagnostic.routes.js,false,false,true
,,,GET /:tenantId/readiness,/:tenantId/readiness,GET,iso-express-diagnostic.routes,tenant-signal,,,,,,,,backend/src/routes/iso-express-diagnostic.routes.js,false,false,true
,,,GET /:tenantId/:assessmentId/gaps,/:tenantId/:assessmentId/gaps,GET,iso-express-diagnostic.routes,tenant-signal,,,,,,,,backend/src/routes/iso-express-diagnostic.routes.js,false,false,true
,,,GET /:tenantId/:assessmentId/plan,/:tenantId/:assessmentId/plan,GET,iso-express-diagnostic.routes,tenant-signal,,,,,,,,backend/src/routes/iso-express-diagnostic.routes.js,false,false,true
,,,POST /:tenantId/:assessmentId/archive,/:tenantId/:assessmentId/archive,POST,iso-express-diagnostic.routes,tenant-signal,,,,,,,,backend/src/routes/iso-express-diagnostic.routes.js,false,false,true
,,,GET /:tenantId/:assessmentId,/:tenantId/:assessmentId,GET,iso-express-diagnostic.routes,tenant-signal,,,,,,,,backend/src/routes/iso-express-diagnostic.routes.js,false,false,true
,,,GET /standards,/standards,GET,iso-knowledge.routes,unknown,,,,,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /standards/:standardCode/versions,/standards/:standardCode/versions,GET,iso-knowledge.routes,unknown,,,,,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /crosswalks,/crosswalks,GET,iso-knowledge.routes,unknown,,,,,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /transition/iso9001-2026,/transition/iso9001-2026,GET,iso-knowledge.routes,unknown,,,,,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /sync-status,/sync-status,GET,iso-knowledge.routes,unknown,,,,,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /:standardCode/:version/clauses,/:standardCode/:version/clauses,GET,iso-knowledge.routes,unknown,,,,,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /:standardCode/:version/controls,/:standardCode/:version/controls,GET,iso-knowledge.routes,unknown,,,,,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /:standardCode/:version/evidence-expectations,/:standardCode/:version/evidence-expectations,GET,iso-knowledge.routes,unknown,,,,,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /:standardCode/:version/policy-templates,/:standardCode/:version/policy-templates,GET,iso-knowledge.routes,unknown,,,,,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /:standardCode/:version/procedure-templates,/:standardCode/:version/procedure-templates,GET,iso-knowledge.routes,unknown,,,,audit-signal,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /:standardCode/:version/risk-templates,/:standardCode/:version/risk-templates,GET,iso-knowledge.routes,unknown,,,,audit-signal,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /:standardCode/:version/audit-questions,/:standardCode/:version/audit-questions,GET,iso-knowledge.routes,unknown,,,,audit-signal,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /:standardCode/:version/gap-rules,/:standardCode/:version/gap-rules,GET,iso-knowledge.routes,unknown,,,,audit-signal,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /:standardCode/:version/maturity-rules,/:standardCode/:version/maturity-rules,GET,iso-knowledge.routes,unknown,,,,audit-signal,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /:standardCode/:version/ai-guidance,/:standardCode/:version/ai-guidance,GET,iso-knowledge.routes,unknown,,,,,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /:standardCode/:version/catalog-links,/:standardCode/:version/catalog-links,GET,iso-knowledge.routes,unknown,,,,,,,,backend/src/routes/iso-knowledge.routes.js,false,false,false
,,,GET /summary,/summary,GET,iso-operational-execution.routes,tenant-signal,,,,,,,,backend/src/routes/iso-operational-execution.routes.js,false,false,true
,,,GET /suggestions,/suggestions,GET,iso-operational-execution.routes,tenant-signal,,,,,,,,backend/src/routes/iso-operational-execution.routes.js,false,false,true
,,,POST /generate,/generate,POST,iso-operational-execution.routes,tenant-signal,,,,,,,,backend/src/routes/iso-operational-execution.routes.js,false,false,true
,,,GET /:id,/:id,GET,iso-operational-execution.routes,tenant-signal,,,,,,,,backend/src/routes/iso-operational-execution.routes.js,false,false,true
,,,POST /:id/approve,/:id/approve,POST,iso-operational-execution.routes,tenant-signal,,,,,,,,backend/src/routes/iso-operational-execution.routes.js,false,false,true
,,,POST /:id/reject,/:id/reject,POST,iso-operational-execution.routes,tenant-signal,,,,,,,,backend/src/routes/iso-operational-execution.routes.js,false,false,true
,,,GET /workflow-summary,/workflow-summary,GET,iso-recommended-actions.routes,tenant-signal,,,,,,,,backend/src/routes/iso-recommended-actions.routes.js,false,false,true
,,,GET /:id/workflow,/:id/workflow,GET,iso-recommended-actions.routes,tenant-signal,,,,,,,,backend/src/routes/iso-recommended-actions.routes.js,false,false,true
,,,POST /:id/workflow/transition,/:id/workflow/transition,POST,iso-recommended-actions.routes,tenant-signal,,,,,,,,backend/src/routes/iso-recommended-actions.routes.js,false,false,true
,,,POST /:id/workflow/comment,/:id/workflow/comment,POST,iso-recommended-actions.routes,tenant-signal,,,,,,,,backend/src/routes/iso-recommended-actions.routes.js,false,false,true
,,,GET /:id/conversion-options,/:id/conversion-options,GET,iso-recommended-actions.routes,tenant-signal,,,,,,,,backend/src/routes/iso-recommended-actions.routes.js,false,false,true
,,,POST /:id/dry-run-convert,/:id/dry-run-convert,POST,iso-recommended-actions.routes,tenant-signal,,,,,,,,backend/src/routes/iso-recommended-actions.routes.js,false,false,true
,,,POST /:id/convert,/:id/convert,POST,iso-recommended-actions.routes,tenant-signal,,,,,,,,backend/src/routes/iso-recommended-actions.routes.js,false,false,true
,,,GET /:tenantId/options,/:tenantId/options,GET,iso-risk-matrix.routes,tenant-signal,,,,,,,,backend/src/routes/iso-risk-matrix.routes.js,false,false,true
,,,POST /:tenantId/generate,/:tenantId/generate,POST,iso-risk-matrix.routes,tenant-signal,,,,,,,,backend/src/routes/iso-risk-matrix.routes.js,false,false,true
,,,GET /:tenantId/runs,/:tenantId/runs,GET,iso-risk-matrix.routes,tenant-signal,,,,,,,,backend/src/routes/iso-risk-matrix.routes.js,false,false,true
,,,GET /:tenantId/latest,/:tenantId/latest,GET,iso-risk-matrix.routes,tenant-signal,,,,,,,,backend/src/routes/iso-risk-matrix.routes.js,false,false,true
,,,GET /:tenantId/summary,/:tenantId/summary,GET,iso-risk-matrix.routes,tenant-signal,,,,,,,,backend/src/routes/iso-risk-matrix.routes.js,false,false,true
,,,GET /:tenantId/runs/:runId,/:tenantId/runs/:runId,GET,iso-risk-matrix.routes,tenant-signal,,,,,,,,backend/src/routes/iso-risk-matrix.routes.js,false,false,true
,,,GET /:tenantId/runs/:runId/items,/:tenantId/runs/:runId/items,GET,iso-risk-matrix.routes,tenant-signal,,,,,,,,backend/src/routes/iso-risk-matrix.routes.js,false,false,true
,,,GET /:tenantId/runs/:runId/actions,/:tenantId/runs/:runId/actions,GET,iso-risk-matrix.routes,tenant-signal,,,,,,,,backend/src/routes/iso-risk-matrix.routes.js,false,false,true
,,,POST /:tenantId/items/:itemId/review,/:tenantId/items/:itemId/review,POST,iso-risk-matrix.routes,tenant-signal,,,,,,,,backend/src/routes/iso-risk-matrix.routes.js,false,false,true
,,,POST /:tenantId/runs/:runId/archive,/:tenantId/runs/:runId/archive,POST,iso-risk-matrix.routes,tenant-signal,,,,,,,,backend/src/routes/iso-risk-matrix.routes.js,false,false,true
,,,POST /recommendations,/recommendations,POST,iso-scope.routes,tenant-signal,,,,,,,,backend/src/routes/iso-scope.routes.js,false,false,true
,,,GET /search,/search,GET,knowledge-base.routes,unknown,,,,,,,,backend/src/routes/knowledge-base.routes.js,false,false,false
,,,GET /standards,/standards,GET,knowledge-base.routes,unknown,,,,,,,,backend/src/routes/knowledge-base.routes.js,false,false,false
,,,GET /rules,/rules,GET,knowledge-base.routes,unknown,,,,,,,,backend/src/routes/knowledge-base.routes.js,false,false,false
,,,POST /recalculate/:tenantId,/recalculate/:tenantId,POST,kpi.routes,tenant-signal,,,,,,,,backend/src/routes/kpi.routes.js,true,false,true
,,,GET /dashboard/:tenantId,/dashboard/:tenantId,GET,kpi.routes,tenant-signal,,,,,,,,backend/src/routes/kpi.routes.js,true,false,true
,,,GET /effective-health-summary/:tenantId,/effective-health-summary/:tenantId,GET,kpi.routes,tenant-signal,,,,,,,,backend/src/routes/kpi.routes.js,true,false,true
,,,GET /catalog/:tenantId,/catalog/:tenantId,GET,kpi.routes,tenant-signal,,,,,,,,backend/src/routes/kpi.routes.js,true,false,true
,,,GET /admin/:tenantId,/admin/:tenantId,GET,kpi.routes,tenant-signal,,,,,,,,backend/src/routes/kpi.routes.js,true,false,true
,,,POST /custom,/custom,POST,kpi.routes,tenant-signal,,,,,,,,backend/src/routes/kpi.routes.js,true,false,true
,,,PUT /custom/:id,/custom/:id,PUT,kpi.routes,tenant-signal,,,,,,,,backend/src/routes/kpi.routes.js,true,false,true
,,,POST /tenant-setting,/tenant-setting,POST,kpi.routes,tenant-signal,,,,,,,,backend/src/routes/kpi.routes.js,true,false,true
,,,POST /manual-value,/manual-value,POST,kpi.routes,tenant-signal,,,,,,,,backend/src/routes/kpi.routes.js,true,false,true
,,,DELETE /custom/:id,/custom/:id,DELETE,kpi.routes,tenant-signal,,,,,,,,backend/src/routes/kpi.routes.js,true,false,true
,,,GET /stages,/stages,GET,lifecycle.routes,tenant-signal,,,,,,,,backend/src/routes/lifecycle.routes.js,true,false,true
,,,POST /rebuild/:tenant_id,/rebuild/:tenant_id,POST,lifecycle.routes,tenant-signal,,,,,,,,backend/src/routes/lifecycle.routes.js,true,false,true
,,,GET /board/:tenant_id,/board/:tenant_id,GET,lifecycle.routes,tenant-signal,,,,,,,,backend/src/routes/lifecycle.routes.js,true,false,true
,,,GET /summary/:tenant_id,/summary/:tenant_id,GET,lifecycle.routes,tenant-signal,,,,,,,,backend/src/routes/lifecycle.routes.js,true,false,true
,,,GET /insights/:tenant_id,/insights/:tenant_id,GET,lifecycle.routes,tenant-signal,,,,,,,,backend/src/routes/lifecycle.routes.js,true,false,true
,,,GET /ai-context/:tenant_id,/ai-context/:tenant_id,GET,lifecycle.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/lifecycle.routes.js,true,false,true
,,,POST /request-move,/request-move,POST,lifecycle.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/lifecycle.routes.js,true,false,true
,,,POST /requests/:request_id/review,/requests/:request_id/review,POST,lifecycle.routes,unknown,,,,audit-signal,,,,backend/src/routes/lifecycle.routes.js,true,false,false
,,,GET /ai-feed/:tenant_id,/ai-feed/:tenant_id,GET,lifecycle.routes,tenant-signal,,,,,,,,backend/src/routes/lifecycle.routes.js,true,false,true
,,,POST /ai-feed/:event_id/processed,/ai-feed/:event_id/processed,POST,lifecycle.routes,tenant-signal,,,,,,,,backend/src/routes/lifecycle.routes.js,true,false,true
,,,GET /history/:tenant_id,/history/:tenant_id,GET,lifecycle.routes,tenant-signal,,,,,,,,backend/src/routes/lifecycle.routes.js,true,true,true
,,,GET /modules,/modules,GET,me-modules.routes,tenant-signal,,,,,,,,backend/src/routes/me-modules.routes.js,true,true,true
,,,GET /session,/session,GET,me.routes,tenant-signal,,,,,,,,backend/src/routes/me.routes.js,true,true,true
,,,GET /governance,/governance,GET,me.routes,tenant-signal,,,,,,,,backend/src/routes/me.routes.js,true,true,true
,,,GET /permissions,/permissions,GET,me.routes,unknown,,,,,,,,backend/src/routes/me.routes.js,true,true,false
,,,GET /entitlements,/entitlements,GET,me.routes,tenant-signal,,,,,,,,backend/src/routes/me.routes.js,true,true,true
,,,POST /:id/ai-review,/:id/ai-review,POST,nonconformities.routes,tenant-signal,,,,,,,,backend/src/routes/nonconformities.routes.js,true,false,true
,,,GET /:tenant_id,/:tenant_id,GET,nonconformities.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/nonconformities.routes.js,true,false,true
,,,PUT /:id,/:id,PUT,nonconformities.routes,tenant-signal,,,,,,,,backend/src/routes/nonconformities.routes.js,true,false,true
,,,GET /:tenantId,/:tenantId,GET,notifications.routes,tenant-signal,,,,,,,,backend/src/routes/notifications.routes.js,true,false,true
,,,PATCH /:id/read,/:id/read,PATCH,notifications.routes,tenant-signal,,,,,,,,backend/src/routes/notifications.routes.js,true,false,true
,,,PATCH /tenant/:tenantId/read-all,/tenant/:tenantId/read-all,PATCH,notifications.routes,tenant-signal,,,,,,,,backend/src/routes/notifications.routes.js,true,false,true
,,,GET /:tenant_id,/:tenant_id,GET,objectives.routes,tenant-signal,,,,,,,,backend/src/routes/objectives.routes.js,true,false,true
,,,POST /,/,POST,objectives.routes,tenant-signal,,,,,,,,backend/src/routes/objectives.routes.js,true,false,true
,,,PUT /:id,/:id,PUT,objectives.routes,tenant-signal,,,,,,,,backend/src/routes/objectives.routes.js,true,false,true
,,,DELETE /:id,/:id,DELETE,objectives.routes,tenant-signal,,,,,,,,backend/src/routes/objectives.routes.js,true,false,true
,,,POST /simulations,/simulations,POST,operational-risks.routes,tenant-signal,,,,,,,,backend/src/routes/operational-risks.routes.js,false,false,true
,,,GET /simulations,/simulations,GET,operational-risks.routes,tenant-signal,,,,,,,,backend/src/routes/operational-risks.routes.js,false,false,true
,,,GET /simulations/:id,/simulations/:id,GET,operational-risks.routes,tenant-signal,,,,,,,,backend/src/routes/operational-risks.routes.js,false,false,true
,,,POST /ai-analysis-jobs,/ai-analysis-jobs,POST,operational-risks.routes,tenant-signal,,,,,,,,backend/src/routes/operational-risks.routes.js,false,false,true
,,,GET /ai-analysis-jobs,/ai-analysis-jobs,GET,operational-risks.routes,tenant-signal,,,,,,,,backend/src/routes/operational-risks.routes.js,false,false,true
,,,GET /ai-analysis-jobs/:id,/ai-analysis-jobs/:id,GET,operational-risks.routes,tenant-signal,,,,,,,,backend/src/routes/operational-risks.routes.js,false,false,true
,,,POST /ai-analysis,/ai-analysis,POST,operational-risks.routes,tenant-signal,,,,,,,,backend/src/routes/operational-risks.routes.js,false,false,true
,,,POST /simulations/:id/recommendations,/simulations/:id/recommendations,POST,operational-risks.routes,tenant-signal,,,,,,,,backend/src/routes/operational-risks.routes.js,false,false,true
,,,POST /simulations/:id/recommendations/ai,/simulations/:id/recommendations/ai,POST,operational-risks.routes,tenant-signal,,,,,,,,backend/src/routes/operational-risks.routes.js,false,true,true
,,,GET /:tenant_id/:iso,/:tenant_id/:iso,GET,policy.routes,tenant-signal,,,,,,,,backend/src/routes/policy.routes.js,true,false,true
,,,GET /prices,/prices,GET,quotes.routes,unknown,,,,,,,,backend/src/routes/quotes.routes.js,true,false,false
,,,POST /calculate,/calculate,POST,quotes.routes,unknown,,,,,,,,backend/src/routes/quotes.routes.js,true,false,false
,,,GET /,/,GET,quotes.routes,unknown,,,,,,,,backend/src/routes/quotes.routes.js,true,false,false
,,,GET /:id,/:id,GET,quotes.routes,tenant-signal,,,,,,,,backend/src/routes/quotes.routes.js,true,false,true
,,,POST /,/,POST,quotes.routes,unknown,,,,,,,,backend/src/routes/quotes.routes.js,true,false,false
,,,PUT /:id/status,/:id/status,PUT,quotes.routes,unknown,,,,audit-signal,,,,backend/src/routes/quotes.routes.js,true,false,false
,,,POST /:id/convert-to-tenant,/:id/convert-to-tenant,POST,quotes.routes,tenant-signal,,,,,,,,backend/src/routes/quotes.routes.js,true,false,true
,,,GET /:tenant_id,/:tenant_id,GET,report.routes,tenant-signal,,,,,,,,backend/src/routes/report.routes.js,true,false,true
,,,GET /templates,/templates,GET,reports.routes,tenant-signal,,,,,,,,backend/src/routes/reports.routes.js,true,true,true
,,,POST /preview,/preview,POST,reports.routes,tenant-signal,,,,,,,,backend/src/routes/reports.routes.js,true,true,true
,,,POST /narrative,/narrative,POST,reports.routes,tenant-signal,,,,,,,,backend/src/routes/reports.routes.js,true,false,true
,,,POST /export/pdf,/export/pdf,POST,reports.routes,unknown,,,,,,,,backend/src/routes/reports.routes.js,true,false,false
,,,POST /export/zip,/export/zip,POST,reports.routes,unknown,,,,,,,,backend/src/routes/reports.routes.js,true,false,false
,,,GET /sources,/sources,GET,reports.routes,unknown,,,,,,,,backend/src/routes/reports.routes.js,true,false,false
,,,GET /health,/health,GET,reports.routes,tenant-signal,,,,,,,,backend/src/routes/reports.routes.js,true,false,true
,,,GET /types,/types,GET,reports.routes,tenant-signal,,,,,,,,backend/src/routes/reports.routes.js,true,true,true
,,,GET /clients,/clients,GET,reports.routes,tenant-signal,,,,,,,,backend/src/routes/reports.routes.js,true,true,true
,,,GET /standards,/standards,GET,reports.routes,tenant-signal,,,,,,,,backend/src/routes/reports.routes.js,true,true,true
,,,GET /exports,/exports,GET,reports.routes,tenant-signal,,,,,,,,backend/src/routes/reports.routes.js,true,true,true
,,,GET /download/:id,/download/:id,GET,reports.routes,tenant-signal,,,,,,,,backend/src/routes/reports.routes.js,true,true,true
,,,POST /generate/start,/generate/start,POST,reports.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/reports.routes.js,true,true,true
,,,GET /jobs/:job_id,/jobs/:job_id,GET,reports.routes,unknown,,,,,,,,backend/src/routes/reports.routes.js,true,false,false
,,,GET /jobs/:job_id/result,/jobs/:job_id/result,GET,reports.routes,unknown,,,,,,,,backend/src/routes/reports.routes.js,true,false,false
,,,POST /generate,/generate,POST,reports.routes,tenant-signal,,,,,,,,backend/src/routes/reports.routes.js,true,true,true
,,,POST /schedules,/schedules,POST,reports.routes,tenant-signal,,,,,,,,backend/src/routes/reports.routes.js,true,true,true
,,,GET /global/:tenantId,/global/:tenantId,GET,search.routes,tenant-signal,,,,,,,,backend/src/routes/search.routes.js,true,false,true
,,,GET /history/:tenantId,/history/:tenantId,GET,search.routes,tenant-signal,,,,,,,,backend/src/routes/search.routes.js,true,false,true
,,,POST /history/click,/history/click,POST,search.routes,tenant-signal,,,,,,,,backend/src/routes/search.routes.js,true,false,true
,,,GET /:tenant_id/preflight,/:tenant_id/preflight,GET,soa.routes,tenant-signal,,,,,,,,backend/src/routes/soa.routes.js,true,false,true
,,,POST /:tenant_id/initialize,/:tenant_id/initialize,POST,soa.routes,tenant-signal,,,,,,,,backend/src/routes/soa.routes.js,true,true,true
,,,GET /:tenant_id/intelligence,/:tenant_id/intelligence,GET,soa.routes,tenant-signal,,,,,,,,backend/src/routes/soa.routes.js,true,true,true
,,,GET /:tenant_id/intelligence/:tenant_control_id,/:tenant_id/intelligence/:tenant_control_id,GET,soa.routes,tenant-signal,,,,,,,,backend/src/routes/soa.routes.js,true,false,true
,,,GET /:tenant_id/assessments,/:tenant_id/assessments,GET,soa.routes,tenant-signal,,,,,,,,backend/src/routes/soa.routes.js,true,false,true
,,,POST /:tenant_id/assessments/run,/:tenant_id/assessments/run,POST,soa.routes,tenant-signal,,,,,,,,backend/src/routes/soa.routes.js,true,true,true
,,,POST /:tenant_id/assessments/run-batch,/:tenant_id/assessments/run-batch,POST,soa.routes,tenant-signal,,,,,,,,backend/src/routes/soa.routes.js,true,true,true
,,,POST /:tenant_id/assessments/:assessment_id/apply,/:tenant_id/assessments/:assessment_id/apply,POST,soa.routes,tenant-signal,,,,,,,,backend/src/routes/soa.routes.js,true,true,true
,,,POST /:tenant_id/assessments/:assessment_id/reject,/:tenant_id/assessments/:assessment_id/reject,POST,soa.routes,tenant-signal,,,,,,,,backend/src/routes/soa.routes.js,true,true,true
,,,GET /:tenant_id/change-log,/:tenant_id/change-log,GET,soa.routes,tenant-signal,,,,,,,,backend/src/routes/soa.routes.js,true,true,true
,,,GET /:tenant_id,/:tenant_id,GET,soa.routes,tenant-signal,,,,,,,,backend/src/routes/soa.routes.js,true,false,true
,,,PUT /:tenant_control_id,/:tenant_control_id,PUT,soa.routes,tenant-signal,,,,,,,,backend/src/routes/soa.routes.js,true,false,true
,,,POST /register,/register,POST,sync-agent.routes,tenant-signal,,,,,,,,backend/src/routes/sync-agent.routes.js,true,false,true
,,,POST /heartbeat,/heartbeat,POST,sync-agent.routes,tenant-signal,,,,,,,,backend/src/routes/sync-agent.routes.js,true,false,true
,,,GET /config,/config,GET,sync-agent.routes,tenant-signal,,,,,,,,backend/src/routes/sync-agent.routes.js,true,false,true
,,,POST /documents/index,/documents/index,POST,sync-agent.routes,tenant-signal,,,,,,,,backend/src/routes/sync-agent.routes.js,true,false,true
,,,POST /documents/upload,/documents/upload,POST,sync-agent.routes,tenant-signal,,,,,,,,backend/src/routes/sync-agent.routes.js,true,false,true
,,,GET /:tenantId/*filePath,/:tenantId/*filePath,GET,tenant-files.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-files.routes.js,false,true,true
,,,PUT /:id,/:id,PUT,tenant-operations.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-operations.routes.js,false,false,true
,,,PATCH /:id/status,/:id/status,PATCH,tenant-operations.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-operations.routes.js,false,false,true
,,,GET /,/,GET,tenant-process-links.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-process-links.routes.js,false,false,true
,,,GET /by-process/:processId,/by-process/:processId,GET,tenant-process-links.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-process-links.routes.js,false,false,true
,,,GET /by-operation/:operationId,/by-operation/:operationId,GET,tenant-process-links.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-process-links.routes.js,false,false,true
,,,GET /candidates/:targetType,/candidates/:targetType,GET,tenant-process-links.routes,unknown,,,,,,,,backend/src/routes/tenant-process-links.routes.js,false,false,false
,,,POST /,/,POST,tenant-process-links.routes,unknown,,,,,,,,backend/src/routes/tenant-process-links.routes.js,false,false,false
,,,PATCH /:id/deactivate,/:id/deactivate,PATCH,tenant-process-links.routes,unknown,,,,,,,,backend/src/routes/tenant-process-links.routes.js,false,false,false
,,,PATCH /:id/reactivate,/:id/reactivate,PATCH,tenant-process-links.routes,unknown,,,,,,,,backend/src/routes/tenant-process-links.routes.js,false,false,false
,,,GET /,/,GET,tenant-processes.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-processes.routes.js,false,false,true
,,,POST /,/,POST,tenant-processes.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-processes.routes.js,false,false,true
,,,GET /:id,/:id,GET,tenant-processes.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-processes.routes.js,false,false,true
,,,PUT /:id,/:id,PUT,tenant-processes.routes,unknown,,,,,,,,backend/src/routes/tenant-processes.routes.js,false,false,false
,,,PATCH /:id/status,/:id/status,PATCH,tenant-processes.routes,unknown,,,,,,,,backend/src/routes/tenant-processes.routes.js,false,false,false
,,,GET /:id/operations,/:id/operations,GET,tenant-processes.routes,unknown,,,,,,,,backend/src/routes/tenant-processes.routes.js,false,false,false
,,,POST /:id/operations,/:id/operations,POST,tenant-processes.routes,unknown,,,,,,,,backend/src/routes/tenant-processes.routes.js,false,false,false
,,,GET /operations/:tenant_id,/operations/:tenant_id,GET,tenant-standards.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-standards.routes.js,true,false,true
,,,POST /operations,/operations,POST,tenant-standards.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-standards.routes.js,true,false,true
,,,PUT /operations/:operation_id,/operations/:operation_id,PUT,tenant-standards.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-standards.routes.js,true,false,true
,,,PUT /operations/:operation_id/deactivate,/operations/:operation_id/deactivate,PUT,tenant-standards.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-standards.routes.js,true,false,true
,,,GET /scope/:tenant_id,/scope/:tenant_id,GET,tenant-standards.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-standards.routes.js,true,false,true
,,,PUT /scope/:tenant_id/:standard_code,/scope/:tenant_id/:standard_code,PUT,tenant-standards.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-standards.routes.js,true,false,true
,,,GET /:tenant_id,/:tenant_id,GET,tenant-standards.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-standards.routes.js,true,false,true
,,,POST /initialize,/initialize,POST,tenant-standards.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-standards.routes.js,true,false,true
,,,PUT /deactivate,/deactivate,PUT,tenant-standards.routes,tenant-signal,,,,,,,,backend/src/routes/tenant-standards.routes.js,true,true,true
,,,GET /,/,GET,tenants.routes,tenant-signal,,,,,,,,backend/src/routes/tenants.routes.js,true,false,true
,,,GET /:id,/:id,GET,tenants.routes,tenant-signal,,,,,,,,backend/src/routes/tenants.routes.js,true,false,true
,,,POST /,/,POST,tenants.routes,tenant-signal,,,,,,,,backend/src/routes/tenants.routes.js,true,false,true
,,,GET /me,/me,GET,user.routes,tenant-signal,,,,,,,,backend/src/routes/user.routes.js,true,true,true
,,,PUT /me,/me,PUT,user.routes,tenant-signal,,,,,,,,backend/src/routes/user.routes.js,true,true,true
,,,PUT /me/password,/me/password,PUT,user.routes,tenant-signal,,,,,,,,backend/src/routes/user.routes.js,true,true,true
,,,POST /me/avatar,/me/avatar,POST,user.routes,tenant-signal,,,,,,,,backend/src/routes/user.routes.js,true,true,true
,,,GET /:id,/:id,GET,user.routes,tenant-signal,,,,,,,,backend/src/routes/user.routes.js,true,true,true
,,,GET /,/,GET,users.routes,tenant-signal,,,,audit-signal,,,,backend/src/routes/users.routes.js,true,true,true
,,,POST /,/,POST,users.routes,tenant-signal,,,,,,,,backend/src/routes/users.routes.js,true,true,true
,,,PUT /:id,/:id,PUT,users.routes,tenant-signal,,,,,,,,backend/src/routes/users.routes.js,true,true,true
