tenant_id,module_key,module_name,is_enabled,enabled_at,disabled_at
444cb18c-831a-4964-b7d9-c1d302f73fc6,risk_matrix,Matriz de Riesgo,t,2026-04-22 14:25:37.735017,
444cb18c-831a-4964-b7d9-c1d302f73fc6,audits,Auditorías,t,2026-04-22 14:25:37.735017,
444cb18c-831a-4964-b7d9-c1d302f73fc6,assets,Activos,t,2026-04-22 14:25:37.735017,
444cb18c-831a-4964-b7d9-c1d302f73fc6,reports,Reportes,t,2026-04-22 14:25:37.735017,
444cb18c-831a-4964-b7d9-c1d302f73fc6,ai,IA,t,2026-04-22 14:25:37.735017,
444cb18c-831a-4964-b7d9-c1d302f73fc6,dealer_portal,Portal Dealer,f,,
444cb18c-831a-4964-b7d9-c1d302f73fc6,admin_saas,Administración SaaS,f,,
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,health,Health ISO,t,2026-04-17 13:57:38.405707,
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,controls,Controles,t,2026-04-17 13:57:38.405707,
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,evidences,Evidencias,t,2026-04-17 13:57:38.405707,
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,action_plans,Plan de Acción,t,2026-04-17 13:57:38.405707,
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,grc_phase1_core,Nucleo GRC Fase 1,f,,
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,grc_phase2_integrated,GRC integrado Fase 2,f,,
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,grc_phase3_operations,Operación y continuidad GRC,f,,
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,nonconformities,No Conformidades,t,2026-04-17 13:57:38.405707,
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,risk_matrix,Matriz de Riesgo,t,2026-04-17 13:57:38.405707,
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,audits,Auditorías,t,2026-04-17 13:57:38.405707,
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,assets,Activos,t,2026-04-17 13:57:38.405707,
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,reports,Reportes,t,2026-04-17 13:57:38.405707,
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,ai,IA,f,,
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,dealer_portal,Portal Dealer,f,,
4d9db214-5e4f-449a-84eb-c6db5e59f4a5,admin_saas,Administración SaaS,f,,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,health,Health ISO,t,,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,controls,Controles,t,,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,evidences,Evidencias,t,,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,action_plans,Plan de Acción,t,,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,grc_phase1_core,Nucleo GRC Fase 1,t,2026-07-29 16:09:06.135871,
4f8c5522-190c-4ace-bf59-1e7cc96003e7,grc_phase2_integrated,GRC integrado Fase 2,t,2026-07-29 16:09:10.602651,
