role_key,permission_key,permission_group,is_allowed,permission_active
auditor,auditlog.view,auditlog,t,t
auditor,audits.review,audits,t,t
auditor,audits.view,audits,t,t
auditor,bia.read,continuity,t,t
auditor,connectors.logs.read,connectors,t,t
auditor,connectors.read,connectors,t,t
auditor,continuity.read,continuity,t,t
auditor,controls.view,controls,t,t
auditor,crisis.read,continuity,t,t
auditor,dashboards.read,bi,t,t
auditor,data.catalog.read,data,t,t
auditor,data.lineage.read,data,t,t
auditor,data.quality.read,data,t,t
auditor,evidence.request.read,evidence,t,t
auditor,evidence.review,grc,t,t
auditor,evidences.review,evidences,t,t
auditor,evidences.view,evidences,t,t
auditor,framework.manage,grc,t,t
auditor,framework.read,framework,t,t
auditor,gap.evaluate,gap,t,t
auditor,gap.read,gap,t,t
auditor,gap.transition,gap,t,t
auditor,grc.export.generate,audit,t,t
auditor,grc.phase2.export,reporting,t,t
auditor,health.view,health,t,t
auditor,incidents.manage,incidents,t,t
auditor,incidents.read,incidents,t,t
auditor,loss_events.read,loss,t,t
auditor,metrics.measure,metrics,t,t
auditor,metrics.read,metrics,t,t
auditor,modules.view,modules,t,t
auditor,nonconformities.review,nonconformities,t,t
auditor,nonconformities.view,nonconformities,t,t
auditor,operations.360.read,operations,t,t
auditor,operations.dashboard.read,operations,t,t
auditor,organizations.read,operations,t,t
auditor,privacy.dpia.manage,privacy,t,t
auditor,privacy.read,privacy,t,t
auditor,processes.read,operations,t,t
auditor,quantitative_risk.read,risk,t,t
auditor,readiness.generate,readiness,t,t
auditor,readiness.read,readiness,t,t
auditor,reports.download,reports,t,t
auditor,reports.export,reports,t,t
auditor,reports.generate,reports,t,t
auditor,reports.read,reports,t,t
auditor,reports.view,reports,t,t
auditor,risk_matrix.view,risk_matrix,t,t
auditor,semantic.contracts.read,semantic,t,t
auditor,semantic.lineage.read,semantic,t,t
auditor,semantic.mappings.read,semantic,t,t
auditor,semantic.observations.read,semantic,t,t
auditor,semantic.sufficiency.read,semantic,t,t
auditor,services.read,operations,t,t
auditor,standards.view,standards,t,t
auditor,suppliers.assess,suppliers,t,t
auditor,suppliers.read,suppliers,t,t
auditor,surveys.read,surveys,t,t
auditor,surveys.respond,surveys,t,t
auditor,workflow.read,workflow,t,t
auditor,workflow.transition,workflow,t,t
compliance_manager,actions.approve,actions,t,t
compliance_manager,actions.manage,actions,t,t
compliance_manager,actions.view,actions,t,t
compliance_manager,assets.manage,assets,t,t
compliance_manager,assets.view,assets,t,t
compliance_manager,auditlog.view,auditlog,t,t
compliance_manager,audits.manage,audits,t,t
compliance_manager,audits.view,audits,t,t
compliance_manager,controls.manage,controls,t,t
compliance_manager,controls.view,controls,t,t
compliance_manager,evidences.review,evidences,t,t
compliance_manager,evidences.upload,evidences,t,t
compliance_manager,evidences.view,evidences,t,t
compliance_manager,health.refresh,health,t,t
compliance_manager,health.view,health,t,t
compliance_manager,modules.view,modules,t,t
compliance_manager,nonconformities.manage,nonconformities,t,t
compliance_manager,nonconformities.view,nonconformities,t,t
compliance_manager,reports.export,reports,t,t
compliance_manager,reports.view,reports,t,t
compliance_manager,risk_matrix.manage,risk_matrix,t,t
compliance_manager,risk_matrix.view,risk_matrix,t,t
compliance_manager,standards.view,standards,t,t
control_owner,actions.manage,actions,t,t
control_owner,actions.view,actions,t,t
control_owner,controls.view,controls,t,t
control_owner,evidences.upload,evidences,t,t
control_owner,evidences.view,evidences,t,t
control_owner,health.view,health,t,t
control_owner,nonconformities.view,nonconformities,t,t
control_owner,reports.view,reports,t,t
control_owner,risk_matrix.view,risk_matrix,t,t
dealer,dealer.clients.view,dealer,t,t
dealer,dealer.requests.create,dealer,t,t
dealer,health.view,health,t,t
dealer,modules.view,modules,t,t
dealer,reports.view,reports,t,t
dealer,standards.view,standards,t,t
dealer,tenants.view,tenants,t,t
executive,actions.view,actions,t,t
executive,assets.view,assets,t,t
executive,audits.view,audits,t,t
executive,controls.view,controls,t,t
executive,dashboards.read,bi,t,t
executive,data.catalog.read,data,t,t
executive,data.lineage.read,data,t,t
executive,data.quality.read,data,t,t
executive,evidences.view,evidences,t,t
executive,health.view,health,t,t
executive,metrics.read,metrics,t,t
executive,modules.view,modules,t,t
executive,nonconformities.view,nonconformities,t,t
executive,reports.download,reports,t,t
executive,reports.read,reports,t,t
executive,reports.view,reports,t,t
executive,risk_matrix.view,risk_matrix,t,t
executive,standards.view,standards,t,t
executive,surveys.read,surveys,t,t
operativo,actions.manage,actions,t,t
operativo,actions.view,actions,t,t
operativo,controls.view,controls,t,t
operativo,evidence.request.read,evidence,t,t
operativo,evidences.upload,evidences,t,t
operativo,evidences.view,evidences,t,t
operativo,health.view,health,t,t
operativo,reports.view,reports,t,t
operativo,risk_matrix.view,risk_matrix,t,t
operativo,workflow.read,workflow,t,t
operativo,workflow.transition,workflow,t,t
platform_admin,actions.approve,actions,t,t
platform_admin,actions.delete,actions,t,t
platform_admin,actions.manage,actions,t,t
platform_admin,actions.view,actions,t,t
platform_admin,admin_saas.manage,admin_saas,t,t
platform_admin,admin_saas.view,admin_saas,t,t
platform_admin,ai.use,ai,t,t
platform_admin,ai.view,ai,t,t
platform_admin,assets.manage,assets,t,t
platform_admin,assets.view,assets,t,t
platform_admin,auditlog.view,auditlog,t,t
platform_admin,audits.manage,audits,t,t
platform_admin,audits.review,audits,t,t
platform_admin,audits.view,audits,t,t
platform_admin,commercial.catalog.manage,commercial,t,t
platform_admin,commercial.catalog.read,commercial,t,t
platform_admin,commercial.entitlement.override,commercial,t,t
platform_admin,commercial.entitlement.read,commercial,t,t
platform_admin,commercial.health.read,commercial,t,t
platform_admin,commercial.methodology.manage,commercial,t,t
platform_admin,commercial.methodology.read,commercial,t,t
platform_admin,commercial.pack.install,commercial,t,t
platform_admin,commercial.pack.manage,commercial,t,t
platform_admin,commercial.pack.read,commercial,t,t
platform_admin,commercial.plan.manage,commercial,t,t
platform_admin,commercial.plan.read,commercial,t,t
platform_admin,commercial.subscription.manage,commercial,t,t
platform_admin,commercial.subscription.read,commercial,t,t
platform_admin,commercial.trial.manage,commercial,t,t
platform_admin,commercial.usage.read,commercial,t,t
platform_admin,commercial.workpaper.manage,commercial,t,t
platform_admin,commercial.workpaper.read,commercial,t,t
platform_admin,controls.manage,controls,t,t
platform_admin,controls.view,controls,t,t
platform_admin,dealer.clients.manage,dealer,t,t
platform_admin,dealer.clients.view,dealer,t,t
platform_admin,dealer.requests.create,dealer,t,t
platform_admin,evidences.delete,evidences,t,t
platform_admin,evidences.review,evidences,t,t
platform_admin,evidences.upload,evidences,t,t
platform_admin,evidences.view,evidences,t,t
platform_admin,health.refresh,health,t,t
platform_admin,health.view,health,t,t
platform_admin,modules.manage,modules,t,t
platform_admin,modules.view,modules,t,t
platform_admin,nonconformities.manage,nonconformities,t,t
platform_admin,nonconformities.review,nonconformities,t,t
